"Read","L.Music","Cinema","Show","Exhib","Comp","Sport","Walk","Travel","Play.M","Collect","Volunteer","Mech","Garden","Knitt","Cook","Fish","TV","Gender","Age","Marital.St","Prof","N.Act"
"1","1","0","1","1","1","0","1","0","1","0","0","1","0","0","1","0","3","M","(35,45]","Married","Management","10"
"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","F","(65,75]","Married","Employee","6"
"0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","M","[15,25]","Single","Manual labourer","5"
"1","1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","2","F","(45,55]","Divorcee","Management","9"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","F","(85,100]","Widower","Employee","2"
"1","1","0","1","1","0","0","1","0","0","0","1","1","1","0","0","0","0","F","(45,55]","Divorcee","Employee","8"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","M","(75,85]","Widower","Management","2"
"1","0","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","M","(55,65]","Remarried","Management","8"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","M","(45,55]","Married","Unskilled worker","1"
"1","0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1","4","F","(35,45]","Single","Management","8"
"1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","0","2","F","(35,45]","Married","Management","12"
"1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","2","M","(25,35]","Married","Other","7"
"1","1","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","3","M","(65,75]","Married","Management","8"
"1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","4","M","(45,55]","Married","Unskilled worker","5"
"1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","4","F","(45,55]","Single","Employee","11"
"0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","M","(45,55]","Divorcee","Unskilled worker","5"
"0","1","1","1","1","0","0","1","0","1","1","0","1","0","0","0","0","3","F","(45,55]","Married","Employee","9"
"1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1","0","1","M","(25,35]","Single","Management","10"
"0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","F","(25,35]","Divorcee","Unskilled worker","5"
"1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","1","0","4","F","(35,45]","Married","Management","9"
"1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","0","4","F","[15,25]","Single","Management","14"
"1","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","0","3","M","(55,65]","Divorcee","Management","8"
"1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","F","(35,45]","Single","Employee","5"
"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","F","(35,45]","Divorcee","Employee","4"
"0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","2","F","(55,65]","Married","Employee","7"
"1","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","2","M","(35,45]","Single","Management","12"
"0","1","1","1","1","0","0","0","1","1","0","0","1","0","0","1","0","3","M","(35,45]","Single","Employee","9"
"1","1","1","1","1","1","0","1","1","1","0","1","0","0","0","0","0","4","M","(65,75]","Widower","Management","11"
"1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","4","F","(25,35]","Single","Management","11"
"0","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","2","M","(25,35]","Single","Management","6"
"1","1","1","1","0","1","1","1","0","0","0","0","0","0","1","1","0","2","F","(25,35]","Single","Technician","10"
"1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","4","M","(35,45]","Single","Management","8"
"0","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","4","M","(65,75]","Single","Technician","6"
"1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","M","(55,65]","Single","Technician","5"
"1","1","1","0","0","0","1","1","1","1","0","1","1","1","0","1","0","0","F","(35,45]","Single","Management","11"
"1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","3","F","(55,65]","Divorcee","Technician","7"
"1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","F","(45,55]","Single","Employee","5"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","F","(65,75]","Divorcee","Employee","2"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","F","(45,55]","Married","Employee","2"
"1","1","0","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","M","(65,75]","Married","Management","8"
"1","1","1","1","1","1","1","0","1","1","0","0","1","1","0","1","0","1","M","(35,45]","Single","Foreman","13"
"1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","3","M","(55,65]","Married","Management","6"
"1","1","1","0","1","1","1","1","1","1","0","0","1","1","0","1","0","1","M","(25,35]","Single","Management","13"
"1","1","1","1","1","1","0","0","1","1","0","0","1","0","0","1","0","1","F","(65,75]","Divorcee","Employee","11"
"1","1","0","1","0","1","1","1","1","1","0","0","1","0","0","1","1","4","M","(25,35]","Married","Management","12"
"1","1","1","1","0","1","0","1","1","0","1","0","1","0","0","0","0","1","M","(35,45]","Married","Management","10"
"1","1","1","1","1","1","0","1","0","0","0","1","1","0","0","0","0","4","M","(35,45]","Single","Foreman","10"
"1","1","1","0","1","1","0","1","1","0","0","0","1","0","0","1","0","2","F","(25,35]","Married","Employee","10"
"1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","2","F","[15,25]","Single","Employee","14"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","F","(65,75]","Single","Employee","2"
"1","1","1","1","1","0","0","1","0","1","0","1","0","0","0","0","0","4","F","(75,85]","Widower","Management","9"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","M","(75,85]","Remarried","Manual labourer","1"
"1","1","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","M","(25,35]","Single","Management","8"
"1","1","1","0","1","1","1","1","1","0","0","1","1","0","0","0","0","4","M","(45,55]","Married","Management","11"
"1","1","1","1","1","1","0","0","1","0","0","0","0","0","1","1","0","2","F","(65,75]","Married","Management","10"
"1","1","1","1","1","1","0","1","1","0","0","1","0","0","0","0","0","4","M","(45,55]","Remarried","Management","10"
"1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","2","M","(35,45]","Remarried","Employee","8"
"1","1","1","1","1","1","1","0","1","1","0","0","1","0","0","1","0","2","M","(35,45]","Single","Employee","12"
"1","1","1","1","1","0","1","1","1","0","0","0","0","1","0","1","0","4","F","(55,65]","Married","Management","11"
"1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0","0","2","M","(55,65]","Married","Management","13"
"0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","4","F","(45,55]","Married","Foreman","5"
"1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","3","M","(45,55]","Remarried","Management","9"
"1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1","0","1","F","(25,35]","Married","Employee","10"
"1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","M","(25,35]","Single","Employee","9"
"1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","2","F","(25,35]","Single","Management","9"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","(75,85]","Remarried","Management","0"
"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","M","(65,75]","Single","Management","3"
"1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","1","F","(45,55]","Married","Management","11"
"1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","M","(25,35]","Single","Management","7"
"1","1","1","1","1","0","0","1","1","0","0","0","1","1","0","1","0","1","F","(45,55]","Married","Management","11"
"1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","F","(35,45]","Married","Employee","8"
"1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","M","(25,35]","Single","Management","9"
"1","1","1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","2","M","(25,35]","Single","Employee","9"
"1","1","1","1","1","0","1","1","1","0","0","1","0","1","0","0","0","0","F","(45,55]","Married","Employee","10"
"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","3","M","(55,65]","Single","Technician","5"
"1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","M","(65,75]","Married","Management","3"
"1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","3","M","[15,25]","Single","Employee","13"
"0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(75,85]","Widower","Management","4"
"1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","1","0","4","F","(55,65]","Married","Foreman","9"
"1","1","1","0","0","1","1","1","0","1","0","0","1","0","0","0","0","2","M","[15,25]","Single","Manual labourer","9"
"1","0","1","1","1","1","1","0","1","0","0","1","0","0","0","0","0","2","F","(35,45]","Married","Management","9"
"1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","M","(65,75]","Married","Management","7"
"1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","2","F","(35,45]","Married","Management","8"
"1","1","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","4","F","(55,65]","Married","Management","8"
"1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","3","F","(65,75]","Married","Employee","7"
"0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","2","F","(55,65]","Married","Employee","6"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","M","(35,45]","Single","Unskilled worker","2"
"1","1","1","1","1","1","0","0","1","1","1","0","0","0","0","1","0","4","F","(25,35]","Single","Management","11"
"1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","2","F","(25,35]","Single","Other","12"
"1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","0","0","M","(35,45]","Remarried","Management","8"
"1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","1","0","2","F","(55,65]","Married","Management","10"
"1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","4","F","(45,55]","Widower","Foreman","6"
"1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","F","(45,55]","Married","Manual labourer","4"
"1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","M","[15,25]","Single","Management","12"
"1","1","1","1","1","0","0","1","0","0","0","0","1","1","0","0","0","3","F","(35,45]","Single","Employee","9"
"1","1","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","2","M","(45,55]","Single","Management","7"
"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","M","(55,65]","Married","Management","3"
"0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","1","0","4","F","(35,45]","Married","Employee","8"
"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","F","(45,55]","Divorcee","Employee","2"
"1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","F","(25,35]","Married","Management","5"
"1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","M","(45,55]","Single","Management","4"
"1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","0","0","F","(25,35]","Single","Management","13"
"1","1","1","0","1","1","1","0","0","1","1","1","1","1","0","1","0","1","M","[15,25]","Married","Employee","13"
"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","F","(75,85]","Divorcee","Employee","3"
"1","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","4","F","(25,35]","Single","Foreman","7"
"1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","F","(25,35]","Single","Other","7"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","F","(35,45]","Single","Employee","3"
"1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","F","(35,45]","Married","Management","6"
"1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","F","(45,55]","Single","Employee","3"
"0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","4","M","(45,55]","Married","Manual labourer","3"
"1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","3","M","(45,55]","Divorcee","Management","11"
"1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","0","3","F","(45,55]","Married","Management","14"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(65,75]","Married","Management","2"
"1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","M","(55,65]","Divorcee","Employee","5"
"0","1","0","0","0","1","1","1","1","1","0","0","1","0","0","1","0","0","M","(75,85]","Remarried","Technician","8"
"1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","4","M","(25,35]","Single","Employee","6"
"1","1","1","1","1","1","0","1","1","1","0","0","1","0","0","0","0","4","M","(25,35]","Single","Management","11"
"1","1","0","1","0","1","1","1","1","1","0","0","1","0","0","0","0","1","M","[15,25]","Single","Manual labourer","10"
"1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","2","M","(25,35]","Single","Employee","12"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","F","(25,35]","Single","Foreman","4"
"1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","3","F","(25,35]","Divorcee","Employee","6"
"0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","4","M","(35,45]","Married","Manual labourer","5"
"1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","F","(45,55]","Married","Employee","6"
"1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","2","M","(25,35]","Single","Management","8"
"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","M","(35,45]","Married","Foreman","5"
"1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","M","(35,45]","Single","Management","6"
"1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","3","F","(35,45]","Single","Foreman","5"
"0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","F","[15,25]","Single","Foreman","4"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(65,75]","Married","Unskilled worker","3"
"1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","M","(45,55]","Married","Employee","5"
"0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","M","(35,45]","Single","Foreman","4"
"1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","(25,35]","Single","Foreman","4"
"1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","F","(25,35]","Married","Technician","5"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(85,100]","Widower","Employee","2"
"0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","F","(35,45]","Single","Employee","4"
"0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","M","(25,35]","Married","Management","3"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(55,65]","Married","Employee","1"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","(65,75]","Widower","Employee","1"
"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","F","(45,55]","Married","Employee","3"
"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","F","(25,35]","Married","Employee","3"
"1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","1","0","2","F","(45,55]","Divorcee","Foreman","9"
"1","1","1","0","1","1","1","0","1","1","0","0","0","0","0","1","1","2","M","(35,45]","Married","Management","11"
"1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","4","M","(55,65]","Married","Employee","5"
"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(85,100]","Single","Employee","3"
"1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","3","M","(55,65]","Married","Management","5"
"0","1","1","1","0","1","1","1","1","1","0","0","0","1","0","0","1","2","M","(55,65]","Married","Management","11"
"1","1","1","1","1","1","1","1","1","0","0","0","1","1","0","1","0","3","M","(35,45]","Married","Management","13"
"1","0","0","0","0","1","1","0","1","0","0","0","1","1","0","0","0","3","M","(35,45]","Married","Management","7"
"1","0","0","0","0","1","1","0","1","0","0","0","1","1","0","1","0","1","M","(35,45]","Married","Management","8"
"1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","3","M","(25,35]","Married","Unskilled worker","12"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(25,35]","Married","Employee","3"
"1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","0","1","1","M","(25,35]","Married","Management","10"
"1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","1","0","4","M","(25,35]","Single","Employee","10"
"1","1","1","0","1","1","1","1","1","1","0","1","0","1","0","0","0","3","F","(55,65]","Married","Employee","12"
"1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","2","F","(45,55]","Married","Employee","6"
"1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","F","(45,55]","Married","Foreman","10"
"1","1","1","0","1","1","1","0","1","0","1","1","0","0","0","0","0","2","M","(65,75]","Married","Employee","10"
"1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","3","M","(45,55]","Married","Manual labourer","6"
"0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","F","(25,35]","Single","Manual labourer","5"
"1","0","1","1","0","1","0","1","1","1","0","0","1","0","0","0","0","3","F","(35,45]","Married","Employee","9"
"1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","4","M","(55,65]","Remarried","Management","12"
"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","M","[15,25]","Single","Employee","4"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","[15,25]","Single","Employee","2"
"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","F","(45,55]","Married","Foreman","2"
"1","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","4","M","(35,45]","Single","Manual labourer","7"
"1","1","1","1","1","0","0","0","1","1","1","0","1","1","0","1","0","2","M","(55,65]","Remarried","Management","12"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","F","(65,75]","Married","Employee","2"
"1","0","1","1","1","1","1","1","1","0","0","0","1","0","1","0","0","4","F","(55,65]","Divorcee","Management","11"
"1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","2","F","[15,25]","Single","Employee","11"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","F","(65,75]","Married","Unskilled worker","1"
"1","1","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","2","F","(45,55]","Married","Employee","8"
"1","1","1","1","0","1","1","0","0","1","0","0","0","0","1","0","0","4","F","(35,45]","Married","Manual labourer","9"
"0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","1","0","2","M","(25,35]","Remarried","Employee","8"
"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","M","(55,65]","Married","Manual labourer","3"
"1","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","3","M","(45,55]","Single","Manual labourer","8"
"1","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","0","2","M","(25,35]","Married","Management","10"
"1","1","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0","2","F","(55,65]","Divorcee","Employee","12"
"1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","1","F","(35,45]","Divorcee","Foreman","12"
"1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","1","F","(35,45]","Married","Foreman","12"
"1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","F","(45,55]","Divorcee","Employee","15"
"1","1","1","1","1","0","0","0","1","0","0","1","0","0","0","1","0","3","M","(45,55]","Married","Unskilled worker","9"
"1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","2","F","(25,35]","Married","Employee","7"
"1","1","1","0","1","1","1","0","0","1","0","0","0","1","0","0","0","4","F","(25,35]","Married","Management","9"
"1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","4","M","[15,25]","Single","Manual labourer","6"
"1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","1","M","(65,75]","Married","Management","10"
"1","0","1","1","0","1","0","0","1","0","0","0","0","0","1","0","0","2","F","(35,45]","Married","Employee","7"
"1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","3","F","(85,100]","Widower","Management","4"
"1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","2","M","[15,25]","Single","Unskilled worker","9"
"0","1","0","1","1","0","0","1","1","0","1","0","1","0","0","0","0","3","F","(55,65]","Single","Employee","8"
"1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","2","M","[15,25]","Single","Employee","7"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","M","(45,55]","Divorcee","Unskilled worker","2"
"1","1","1","1","0","1","0","0","1","1","1","0","0","0","0","0","0","2","M","[15,25]","Single","Unskilled worker","9"
"1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","4","F","(65,75]","Widower","Employee","6"
"1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","3","M","(55,65]","Married","Technician","5"
"1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","F","[15,25]","Single","Unskilled worker","5"
"0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","2","F","(45,55]","Married","Employee","6"
"1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2","F","(45,55]","Married","Employee","7"
"1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","4","M","(25,35]","Single","Management","8"
"0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","M","(45,55]","Married","Employee","5"
"1","1","1","0","1","1","1","1","0","1","0","0","0","0","0","0","0","3","F","(25,35]","Single","Technician","9"
"1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","F","(55,65]","Married","Management","11"
"1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","3","F","(65,75]","Widower","Employee","7"
"1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","2","F","(25,35]","Single","Management","9"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","F","(65,75]","Single","Foreman","4"
"1","1","1","1","1","1","1","0","1","0","0","0","1","0","0","0","0","3","F","(35,45]","Single","Foreman","10"
"1","1","1","1","1","0","0","1","1","0","0","1","0","1","0","1","0","4","F","(35,45]","Widower","Employee","11"
"1","1","1","0","1","1","0","1","1","0","1","0","1","0","0","1","0","2","M","(45,55]","Married","Management","11"
"0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","F","(45,55]","Remarried","Foreman","3"
"0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","4","M","(45,55]","Single","Employee","5"
"0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","M","(25,35]","Married","Manual labourer","3"
"0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","F","[15,25]","Single","Employee","3"
"1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","3","M","(65,75]","Married","Manual labourer","6"
"1","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","2","M","(35,45]","Married","Employee","8"
"0","0","0","1","1","1","1","0","1","0","0","1","1","1","1","0","0","1","F","(65,75]","Widower","Employee","10"
"1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","0","4","F","(45,55]","Married","Employee","13"
"1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","4","M","(65,75]","Married","Employee","6"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","F","(55,65]","Married","Unskilled worker","4"
"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","3","F","(75,85]","Married","Other","6"
"1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","F","(45,55]","Married","Management","4"
"1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","2","M","(25,35]","Married","Management","7"
"1","1","1","1","1","0","1","1","0","1","0","0","0","1","1","1","0","1","F","(55,65]","Divorcee","Foreman","12"
"1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","M","(55,65]","Married","Management","14"
