"","Sport","Walk","Travel","Fish","Gender","Age","Marital.St","Prof"
"11020310","0","0","0","0","F","(65,75]","Single","Employee"
"11020410","0","1","0","0","F","(75,85]","Widower","Management"
"11020610","0","0","0","0","M","(75,85]","Remarried","Manual labourer"
"11020710","1","0","1","0","M","(25,35]","Single","Management"
"11020810","1","1","1","0","M","(45,55]","Married","Management"
"11021010","0","0","1","0","F","(65,75]","Married","Management"
"11021110","0","1","1","0","M","(45,55]","Remarried","Management"
"11021210","0","0","1","0","M","(35,45]","Remarried","Employee"
"11021610","1","0","1","0","M","(35,45]","Single","Employee"
"11021910","1","1","1","0","F","(55,65]","Married","Management"
"11022010","1","1","1","0","M","(55,65]","Married","Management"
"11022310","0","0","1","0","F","(45,55]","Married","Foreman"
"11022510","1","0","1","0","M","(45,55]","Remarried","Management"
"11022710","1","0","1","0","F","(25,35]","Married","Employee"
"11022810","1","0","1","0","M","(25,35]","Single","Employee"
"11022910","1","1","1","0","F","(25,35]","Single","Management"
"11023410","0","0","0","0","F","(75,85]","Remarried","Management"
"11024110","0","0","0","0","M","(65,75]","Single","Management"
"11024210","1","1","1","0","F","(45,55]","Married","Management"
"11024710","1","1","0","0","M","(25,35]","Single","Management"
"11024810","0","1","1","0","F","(45,55]","Married","Management"
"11024910","0","0","1","0","F","(35,45]","Married","Employee"
"11025310","0","1","1","0","M","(25,35]","Single","Management"
"11026010","0","1","1","0","M","(25,35]","Single","Employee"
"11026210","1","1","1","0","F","(45,55]","Married","Employee"
"11026810","0","1","1","0","M","(55,65]","Single","Technician"
"11027410","0","0","0","0","M","(65,75]","Married","Management"
"11027710","1","1","1","0","M","[15,25]","Single","Employee"
"11028010","0","0","0","0","F","(75,85]","Widower","Management"
"11028210","1","0","1","0","F","(55,65]","Married","Foreman"
"11028310","1","1","0","0","M","[15,25]","Single","Manual labourer"
"11028610","1","0","1","0","F","(35,45]","Married","Management"
"11028710","0","1","1","0","M","(65,75]","Married","Management"
"11028810","0","0","1","0","F","(35,45]","Married","Management"
"11028910","1","0","1","0","F","(55,65]","Married","Management"
"11029410","0","0","0","0","F","(65,75]","Married","Employee"
"11029910","0","1","0","0","F","(55,65]","Married","Employee"
"11030310","0","0","0","0","M","(35,45]","Single","Unskilled worker"
"11030510","0","0","1","0","F","(25,35]","Single","Management"
"11030610","1","1","1","0","F","(25,35]","Single","Other"
"11030710","1","1","1","0","M","(35,45]","Remarried","Management"
"11031010","1","1","1","0","F","(55,65]","Married","Management"
"11031610","1","0","0","0","F","(45,55]","Widower","Foreman"
"11031810","0","0","1","0","F","(45,55]","Married","Manual labourer"
"11032010","1","1","1","0","M","[15,25]","Single","Management"
"11032410","0","1","0","0","F","(35,45]","Single","Employee"
"11032610","0","1","0","0","M","(45,55]","Single","Management"
"11032810","1","0","0","0","M","(55,65]","Married","Management"
"11033710","1","0","1","0","F","(35,45]","Married","Employee"
"11034010","0","1","0","0","F","(45,55]","Divorcee","Employee"
"11034110","1","0","0","0","F","(25,35]","Married","Management"
"11034210","1","0","0","0","M","(45,55]","Single","Management"
"11034610","1","0","1","0","F","(25,35]","Single","Management"
"11034710","1","0","0","0","M","[15,25]","Married","Employee"
"11034810","0","1","0","0","F","(75,85]","Divorcee","Employee"
"11035110","0","1","0","0","F","(25,35]","Single","Foreman"
"11035310","1","1","1","0","F","(25,35]","Single","Other"
"11035510","0","0","0","0","F","(35,45]","Single","Employee"
"11035710","0","0","0","0","F","(35,45]","Married","Management"
"11035910","1","0","0","0","F","(45,55]","Single","Employee"
"11036110","0","0","1","0","M","(45,55]","Married","Manual labourer"
"11036210","0","1","1","0","M","(45,55]","Divorcee","Management"
"11036310","1","0","1","0","F","(45,55]","Married","Management"
"11036410","0","0","0","0","F","(65,75]","Married","Management"
"11036710","0","0","1","0","M","(55,65]","Divorcee","Employee"
"11036810","1","1","1","0","M","(75,85]","Remarried","Technician"
"11036910","1","0","0","0","M","(25,35]","Single","Employee"
"11037010","0","1","1","0","M","(25,35]","Single","Management"
"11037210","1","1","1","0","M","[15,25]","Single","Manual labourer"
"11037410","1","1","1","0","M","(25,35]","Single","Employee"
"11037810","0","0","0","0","F","(25,35]","Single","Foreman"
"11037910","1","0","0","0","F","(25,35]","Divorcee","Employee"
"11038010","0","0","0","0","M","(35,45]","Married","Manual labourer"
"11038110","0","0","0","0","F","(45,55]","Married","Employee"
"11038210","1","0","0","1","M","(25,35]","Single","Management"
"11038310","0","0","0","0","M","(35,45]","Married","Foreman"
"11038410","0","1","1","0","M","(35,45]","Single","Management"
"11038610","0","0","0","0","F","(35,45]","Single","Foreman"
"11038910","1","0","0","0","F","[15,25]","Single","Foreman"
"11039510","0","0","0","0","F","(65,75]","Married","Unskilled worker"
"11039610","0","0","0","0","M","(45,55]","Married","Employee"
"11039710","0","0","1","0","M","(35,45]","Single","Foreman"
"11040110","0","0","0","0","F","(25,35]","Single","Foreman"
"11040410","1","0","1","0","F","(25,35]","Married","Technician"
"11040810","0","0","0","0","F","(85,100]","Widower","Employee"
"11041110","1","0","1","0","F","(35,45]","Single","Employee"
"11041210","0","0","1","0","M","(25,35]","Married","Management"
"11041710","0","0","0","0","F","(55,65]","Married","Employee"
"11041910","0","0","0","0","F","(65,75]","Widower","Employee"
"11042010","0","1","0","0","F","(45,55]","Married","Employee"
"11042410","0","0","0","0","F","(25,35]","Married","Employee"
"11042710","1","1","0","0","F","(45,55]","Divorcee","Foreman"
"11043010","1","0","1","1","M","(35,45]","Married","Management"
"11043510","0","1","0","0","M","(55,65]","Married","Employee"
"11044010","0","0","0","0","F","(85,100]","Single","Employee"
"11044210","0","0","0","0","M","(55,65]","Married","Management"
"11044310","1","1","1","1","M","(55,65]","Married","Management"
"11044410","1","1","1","0","M","(35,45]","Married","Management"
"11044910","1","0","1","0","M","(35,45]","Married","Management"
"11045110","1","0","1","0","M","(35,45]","Married","Management"
"11045410","1","1","1","0","M","(25,35]","Married","Unskilled worker"
"11045710","0","0","0","0","F","(25,35]","Married","Employee"
"11045910","1","0","1","1","M","(25,35]","Married","Management"
"11046610","1","0","0","0","M","(25,35]","Single","Employee"
"11046710","1","1","1","0","F","(55,65]","Married","Employee"
"11047010","0","0","1","0","F","(45,55]","Married","Employee"
"11047410","1","1","1","0","F","(45,55]","Married","Foreman"
"11047610","1","0","1","0","M","(65,75]","Married","Employee"
"11047910","0","0","1","0","M","(45,55]","Married","Manual labourer"
"11048010","0","0","0","0","F","(25,35]","Single","Manual labourer"
"11048710","0","1","1","0","F","(35,45]","Married","Employee"
"11049510","1","1","1","0","M","(55,65]","Remarried","Management"
"11049810","1","0","0","0","M","[15,25]","Single","Employee"
"11049910","0","0","0","0","F","[15,25]","Single","Employee"
"11050110","0","0","1","0","F","(45,55]","Married","Foreman"
"11050210","0","0","1","0","M","(35,45]","Single","Manual labourer"
"11050310","0","0","1","0","M","(55,65]","Remarried","Management"
"11050510","0","0","0","0","F","(65,75]","Married","Employee"
"11050610","1","1","1","0","F","(55,65]","Divorcee","Management"
"11050710","1","1","1","0","F","[15,25]","Single","Employee"
"11050810","0","0","0","0","F","(65,75]","Married","Unskilled worker"
"11051010","0","1","0","0","F","(45,55]","Married","Employee"
"11051210","1","0","0","0","F","(35,45]","Married","Manual labourer"
"11051310","1","1","1","0","M","(25,35]","Remarried","Employee"
"11051510","1","1","0","0","M","(55,65]","Married","Manual labourer"
"11052210","1","0","0","0","M","(45,55]","Single","Manual labourer"
"11052310","1","0","0","0","M","(25,35]","Married","Management"
"11052410","1","1","1","0","F","(55,65]","Divorcee","Employee"
"11052610","1","1","1","0","F","(35,45]","Divorcee","Foreman"
"11053110","1","1","1","0","F","(35,45]","Married","Foreman"
"11053410","1","0","1","0","F","(45,55]","Divorcee","Employee"
"11053510","0","0","1","0","M","(45,55]","Married","Unskilled worker"
"11053610","1","1","0","0","F","(25,35]","Married","Employee"
"11054010","1","0","0","0","F","(25,35]","Married","Management"
"11054110","0","0","1","0","M","[15,25]","Single","Manual labourer"
"11054210","0","1","1","0","M","(65,75]","Married","Management"
"11054310","0","0","1","0","F","(35,45]","Married","Employee"
"11054510","0","0","1","0","F","(85,100]","Widower","Management"
"11054910","0","1","1","0","M","[15,25]","Single","Unskilled worker"
"11055810","0","1","1","0","F","(55,65]","Single","Employee"
"11055910","1","0","0","0","M","[15,25]","Single","Employee"
"11056010","0","0","0","0","M","(45,55]","Divorcee","Unskilled worker"
"11056110","0","0","1","0","M","[15,25]","Single","Unskilled worker"
"11056510","0","0","0","0","F","(65,75]","Widower","Employee"
"11056610","1","0","1","0","M","(55,65]","Married","Technician"
"11057610","0","0","0","0","F","[15,25]","Single","Unskilled worker"
"11057710","0","0","0","0","F","(45,55]","Married","Employee"
"11057810","0","0","0","0","F","(45,55]","Married","Employee"
"11058010","1","1","0","0","M","(25,35]","Single","Management"
"11058510","0","0","1","0","M","(45,55]","Married","Employee"
"11058610","1","1","0","0","F","(25,35]","Single","Technician"
"11059110","1","1","1","0","F","(55,65]","Married","Management"
"11059310","0","0","0","0","F","(65,75]","Widower","Employee"
"11059410","1","0","1","0","F","(25,35]","Single","Management"
"11060310","0","0","0","0","F","(65,75]","Single","Foreman"
"11060410","1","0","1","0","F","(35,45]","Single","Foreman"
"11060610","0","1","1","0","F","(35,45]","Widower","Employee"
"11061010","0","1","1","0","M","(45,55]","Married","Management"
"11061310","0","0","0","0","F","(45,55]","Remarried","Foreman"
"11061410","1","0","0","0","M","(45,55]","Single","Employee"
"11061610","0","0","0","0","M","(25,35]","Married","Manual labourer"
"11061810","0","0","0","0","F","[15,25]","Single","Employee"
"11062210","1","1","1","0","M","(65,75]","Married","Manual labourer"
"11062310","0","0","0","0","M","(35,45]","Married","Employee"
"11062610","1","0","1","0","F","(65,75]","Widower","Employee"
"11062810","1","1","1","0","F","(45,55]","Married","Employee"
"11063210","1","1","0","1","M","(65,75]","Married","Employee"
"11063310","0","0","0","0","F","(55,65]","Married","Unskilled worker"
"11063510","0","0","0","0","F","(75,85]","Married","Other"
"11063610","1","0","0","0","F","(45,55]","Married","Management"
"11063910","0","0","0","0","M","(25,35]","Married","Management"
"11064110","1","1","0","0","F","(55,65]","Divorcee","Foreman"
"11064210","1","1","1","0","M","(55,65]","Married","Management"
"11064310","1","1","1","0","F","(25,35]","Single","Management"
"11064410","0","0","1","0","F","(35,45]","Married","Foreman"
"11064510","0","1","1","0","M","(45,55]","Remarried","Manual labourer"
"11064610","1","1","1","0","M","(35,45]","Married","Management"
"11065010","1","1","1","1","M","(35,45]","Married","Management"
"11065210","0","0","0","0","M","(35,45]","Remarried","Employee"
"11065310","1","1","1","0","M","(35,45]","Married","Management"
"11065410","0","0","1","0","M","(55,65]","Married","Technician"
"11065810","0","1","0","0","M","(65,75]","Married","Technician"
"11066110","1","1","1","0","F","(35,45]","Single","Technician"
"11066310","0","1","0","0","F","(55,65]","Widower","Employee"
"11066610","1","1","1","0","F","(35,45]","Married","Foreman"
"11066810","0","0","1","0","F","(45,55]","Married","Employee"
"11067510","0","0","1","0","M","(45,55]","Divorcee","Employee"
"11067710","1","1","1","0","F","(45,55]","Married","Management"
"11067810","1","1","1","0","M","(45,55]","Married","Management"
"11067910","0","1","1","0","M","(65,75]","Married","Management"
"11068210","1","1","1","0","M","(25,35]","Single","Management"
"11068310","1","1","1","1","M","(25,35]","Single","Foreman"
"11068410","1","1","1","0","F","(25,35]","Married","Employee"
"11068610","0","1","1","0","M","(75,85]","Widower","Foreman"
"11068910","0","0","0","0","F","(35,45]","Divorcee","Foreman"
"11069010","1","1","0","1","F","(35,45]","Married","Employee"
"11069110","0","0","0","0","M","(85,100]","Married","Management"
"11069210","0","1","1","0","M","(45,55]","Single","Management"
"11069610","1","0","1","0","F","(55,65]","Married","Technician"
"11069810","0","1","1","0","F","(65,75]","Married","Management"
"11070010","1","1","1","1","M","(35,45]","Single","Employee"
"11070110","1","0","1","0","F","[15,25]","Single","Employee"
"11070210","1","0","1","0","F","(25,35]","Widower","Employee"
"11070310","1","0","1","0","F","(25,35]","Single","Management"
"11070610","0","0","1","0","M","(55,65]","Married","Foreman"
"11071110","0","1","1","0","F","(35,45]","Single","Employee"
"11071210","0","1","0","0","M","(65,75]","Married","Management"
"11071610","0","0","1","0","F","(35,45]","Divorcee","Employee"
"11072110","0","1","0","0","F","(55,65]","Divorcee","Manual labourer"
"11072210","0","0","0","0","F","(35,45]","Married","Foreman"
"11072310","1","0","0","0","F","(25,35]","Single","Employee"
"11072410","1","0","0","0","F","(65,75]","Single","Management"
"11072910","0","1","0","0","F","(45,55]","Remarried","Employee"
"11073110","1","1","1","0","M","(55,65]","Remarried","Employee"
"11073210","0","0","1","0","M","(35,45]","Married","Manual labourer"
"11073410","0","0","1","0","M","(45,55]","Married","Manual labourer"
"11074010","0","1","1","1","M","(75,85]","Married","Management"
"11074110","0","0","0","0","F","(55,65]","Married","Employee"
"11074210","0","1","1","0","F","(35,45]","Single","Employee"
"11074310","0","0","0","0","F","(25,35]","Married","Employee"
"11074610","1","0","0","0","F","(35,45]","Married","Employee"
"11074710","0","1","1","0","F","(65,75]","Widower","Foreman"
"11074910","0","0","0","0","F","(25,35]","Married","Employee"
"11075010","0","0","0","0","M","(65,75]","Married","Unskilled worker"
"11075110","0","0","0","0","M","(55,65]","Married","Foreman"
"11075310","0","0","0","0","M","(35,45]","Single","Employee"
"11075410","0","0","0","0","F","(45,55]","Married","Employee"
"11075510","0","0","0","0","F","[15,25]","Single","Employee"
"11075910","0","1","0","0","F","(85,100]","Widower","Employee"
"11076010","0","0","0","0","F","(65,75]","Widower","Manual labourer"
"11076210","0","0","1","0","M","(25,35]","Single","Management"
"11076510","0","0","1","0","M","(65,75]","Married","Management"
"11076610","0","0","0","0","M","(35,45]","Divorcee","Foreman"
"11076710","0","0","0","0","M","(35,45]","Remarried","Employee"
"11076910","0","0","0","0","F","[15,25]","Married","Employee"
"11077010","1","1","1","0","M","(25,35]","Single","Technician"
"11077310","1","0","0","0","M","(25,35]","Single","Employee"
"11077410","0","0","1","0","F","(35,45]","Single","Employee"
"11078110","1","1","0","0","M","(75,85]","Married","Management"
"11078310","0","1","1","0","M","[15,25]","Single","Management"
"11079010","1","1","1","0","M","(65,75]","Divorcee","Management"
"11079210","1","1","1","0","F","(45,55]","Married","Management"
"11079310","0","1","1","0","F","(75,85]","Married","Management"
"11079610","1","1","1","0","F","(45,55]","Married","Employee"
"11079910","0","1","1","0","M","(65,75]","Widower","Management"
"11080010","0","0","0","0","M","(75,85]","Widower","Other"
"11080110","0","1","0","0","M","(75,85]","Married","Management"
"11081010","0","1","0","0","F","(75,85]","Widower","Management"
"11081410","1","0","1","0","F","(35,45]","Married","Management"
"11081810","0","0","1","0","M","(25,35]","Single","Employee"
"11082110","0","0","0","0","F","(65,75]","Widower","Foreman"
"11082210","1","0","0","0","M","(25,35]","Married","Technician"
"11082710","1","1","1","0","M","(35,45]","Single","Management"
"11083110","0","1","1","0","F","(25,35]","Married","Management"
"11083710","0","1","1","0","M","(45,55]","Single","Management"
"11083810","1","0","0","0","M","(25,35]","Single","Foreman"
"11083910","1","0","0","0","F","(35,45]","Single","Employee"
"11084010","0","0","0","0","F","(35,45]","Married","Employee"
"11084110","0","1","0","0","F","(45,55]","Married","Employee"
"11084310","0","1","0","0","M","(65,75]","Single","Employee"
"11084410","1","1","0","0","M","(35,45]","Married","Manual labourer"
"11084510","0","0","0","0","F","(35,45]","Single","Employee"
"11084610","1","0","1","0","F","(25,35]","Single","Foreman"
"11084710","0","0","0","1","M","(25,35]","Married","Manual labourer"
"11084810","0","0","1","0","M","(45,55]","Married","Foreman"
"11085010","1","0","0","0","M","(35,45]","Single","Foreman"
"11085110","0","0","0","0","F","(35,45]","Single","Management"
"11085210","1","0","0","0","F","(25,35]","Married","Employee"
"11085310","0","0","0","0","F","(35,45]","Single","Other"
"11085410","0","0","0","0","M","(35,45]","Married","Manual labourer"
"11085610","0","0","1","0","M","(25,35]","Married","Manual labourer"
"11085710","0","0","0","0","F","(45,55]","Married","Manual labourer"
"11085910","0","0","1","0","M","(25,35]","Married","Manual labourer"
"11086010","0","0","0","0","F","(35,45]","Married","Employee"
"11086110","0","0","0","0","F","(45,55]","Remarried","Manual labourer"
"11086510","0","1","0","0","F","(35,45]","Remarried","Manual labourer"
"11086810","0","1","0","0","F","(65,75]","Divorcee","Employee"
"11087010","0","1","1","0","F","(45,55]","Married","Foreman"
"11087110","1","0","0","0","M","(35,45]","Married","Manual labourer"
"11087210","0","1","0","0","M","(55,65]","Single","Manual labourer"
"11087310","1","0","0","0","F","[15,25]","Single","Employee"
"11087910","0","1","1","0","M","(25,35]","Married","Employee"
"11088410","0","0","0","0","M","[15,25]","Single","Unskilled worker"
"11088510","0","0","0","0","M","(35,45]","Married","Manual labourer"
"11088610","1","0","1","0","F","(45,55]","Single","Management"
"11088710","0","0","0","0","M","(65,75]","Divorcee","Employee"
"11089110","1","0","0","0","F","(35,45]","Single","Employee"
"11089310","0","1","0","0","F","(65,75]","Widower","Manual labourer"
"11089410","1","1","0","0","F","(35,45]","Single","Employee"
"11089710","1","1","1","0","F","(45,55]","Divorcee","Foreman"
"11089810","0","0","0","0","M","(25,35]","Married","Manual labourer"
"11089910","0","0","0","1","M","(65,75]","Married","Technician"
"11090110","1","0","0","0","M","(45,55]","Married","Manual labourer"
"11090410","0","0","0","0","F","(45,55]","Single","Employee"
"11090510","1","0","0","0","M","(25,35]","Single","Manual labourer"
"11091010","1","1","1","0","F","(35,45]","Single","Employee"
"11091410","1","1","0","0","F","(45,55]","Divorcee","Technician"
"11091610","0","1","0","0","F","(45,55]","Single","Employee"
"11091710","0","0","1","0","F","(25,35]","Single","Foreman"
"11092010","0","1","0","0","F","(25,35]","Single","Employee"
"11092310","0","0","1","0","F","(55,65]","Single","Foreman"
"11092410","0","1","1","0","F","(55,65]","Married","Technician"
"11092710","0","0","0","0","M","(55,65]","Divorcee","Manual labourer"
"11093010","0","1","0","0","F","(65,75]","Widower","Foreman"
"11093310","0","0","0","0","F","(35,45]","Married","Employee"
"11093510","1","0","0","0","F","(35,45]","Married","Management"
"11093710","1","0","0","0","M","(25,35]","Single","Employee"
"11094010","0","0","0","0","F","(35,45]","Divorcee","Employee"
"11094410","1","0","0","0","F","(25,35]","Single","Management"
"11094910","0","1","0","0","F","(75,85]","Married","Management"
"11095010","1","0","0","0","M","(55,65]","Remarried","Management"
"11095210","0","0","0","1","M","(65,75]","Married","Foreman"
"11095510","0","0","0","0","M","(35,45]","Married","Management"
"11095810","0","0","0","0","M","(45,55]","Married","Manual labourer"
"11096910","0","1","1","0","F","(65,75]","Married","Employee"
"11097410","0","1","0","0","F","(45,55]","Married","Employee"
"11097610","0","0","0","0","F","(25,35]","Single","Unskilled worker"
"11097710","0","0","0","0","F","(35,45]","Married","Employee"
"21000110","0","1","0","1","M","(55,65]","Married","Unskilled worker"
"21000210","0","1","0","1","M","(55,65]","Married","Unskilled worker"
"21000410","0","0","1","0","F","(75,85]","Widower","Manual labourer"
"21000610","1","0","0","0","M","(25,35]","Married","Technician"
"21000710","0","0","0","0","M","(25,35]","Married","Technician"
"21000810","0","0","0","0","F","(55,65]","Married","Technician"
"21001110","0","1","1","0","M","(45,55]","Married","Technician"
"21001210","0","0","0","0","M","(65,75]","Remarried","Manual labourer"
"21001510","0","0","1","0","M","(45,55]","Divorcee","Technician"
"21002010","0","1","0","0","M","(55,65]","Married","Manual labourer"
"21002110","0","0","1","0","M","(25,35]","Single","Employee"
"21002210","0","1","0","0","M","[15,25]","Single","Manual labourer"
"21002710","1","0","0","0","F","[15,25]","Single","Employee"
"21002910","0","0","0","0","M","(55,65]","Married","Manual labourer"
"21003010","0","0","0","0","F","(35,45]","Divorcee","Employee"
"21003210","1","1","1","0","F","(55,65]","Married","Manual labourer"
"21003310","0","0","0","0","F","(65,75]","Married","Employee"
"21003510","0","1","0","0","F","(45,55]","Married","Employee"
"21003610","0","1","1","0","F","(75,85]","Widower","Employee"
"21003710","0","1","0","0","M","(75,85]","Widower","Foreman"
"21003910","1","0","0","0","F","[15,25]","Single","Employee"
"21004010","0","1","0","0","M","(25,35]","Single","Unskilled worker"
"21004210","0","0","0","0","F","[15,25]","Married","Employee"
"21004310","0","1","1","0","M","(45,55]","Married","Employee"
"21004710","0","1","0","1","M","(25,35]","Single","Unskilled worker"
"21004810","0","1","0","0","F","(55,65]","Married","Employee"
"21004910","1","1","1","0","F","(25,35]","Married","Foreman"
"21005110","0","1","1","1","M","(55,65]","Remarried","Manual labourer"
"21005710","0","1","1","0","M","(35,45]","Single","Unskilled worker"
"21005910","0","1","0","0","F","(25,35]","Married","Technician"
"21006110","0","1","1","0","M","(35,45]","Single","Technician"
"21006310","0","0","0","0","M","(65,75]","Divorcee","Manual labourer"
"21006610","0","0","1","0","F","[15,25]","Single","Unskilled worker"
"21007010","1","1","1","0","F","(35,45]","Divorcee","Foreman"
"21007610","1","1","1","1","M","(65,75]","Married","Employee"
"21007810","0","0","0","0","M","(35,45]","Married","Employee"
"21008610","0","1","0","0","F","(75,85]","Widower","Employee"
"21008810","0","0","0","0","M","(35,45]","Married","Employee"
"21009010","0","1","1","0","F","(55,65]","Married","Employee"
"21009310","1","1","0","0","M","(55,65]","Married","Manual labourer"
"21009610","0","1","0","0","F","(45,55]","Married","Employee"
"21009810","1","1","0","1","M","(55,65]","Married","Foreman"
"21010010","0","0","1","0","F","(45,55]","Married","Manual labourer"
"21010110","0","0","1","0","M","(45,55]","Remarried","Management"
"21010210","1","0","0","0","F","(25,35]","Single","Employee"
"21010310","0","0","0","0","F","[15,25]","Single","Employee"
"21010410","1","1","1","0","F","(65,75]","Divorcee","Foreman"
"21010810","1","1","0","0","F","(45,55]","Remarried","Other"
"21011010","1","0","0","0","F","(35,45]","Married","Employee"
"21011110","0","0","1","0","F","(65,75]","Married","Employee"
"21011610","0","0","0","0","M","(45,55]","Single","Unskilled worker"
"21011710","1","1","1","0","F","(25,35]","Single","Employee"
"21012010","1","1","0","0","M","(25,35]","Married","Employee"
"21012310","0","0","0","0","F","(35,45]","Divorcee","Other"
"21012510","0","0","0","0","F","(25,35]","Married","Employee"
"21012810","0","0","0","0","F","(45,55]","Divorcee","Employee"
"21013210","0","1","0","0","F","(65,75]","Widower","Unskilled worker"
"21013310","0","0","0","0","F","(55,65]","Widower","Manual labourer"
"21013410","1","0","0","1","M","(35,45]","Single","Manual labourer"
"21013510","0","0","0","0","M","(55,65]","Married","Unskilled worker"
"21013610","0","0","0","0","F","(45,55]","Widower","Unskilled worker"
"21013710","0","0","0","0","F","(25,35]","Married","Employee"
"21014010","0","0","0","0","F","(85,100]","Single","Manual labourer"
"21014110","1","1","0","0","M","(25,35]","Married","Manual labourer"
"21014210","0","1","0","1","F","(25,35]","Single","Unskilled worker"
"21014310","0","0","0","0","F","(35,45]","Widower","Employee"
"21014410","0","0","0","0","F","(35,45]","Married","Employee"
"21014610","0","0","1","1","M","(35,45]","Married","Management"
"21014810","0","1","1","0","F","(45,55]","Married","Employee"
"21014910","1","0","0","0","F","(25,35]","Married","Foreman"
"21015110","0","0","0","1","M","(45,55]","Divorcee","Manual labourer"
"21015310","0","0","0","0","F","(55,65]","Married","Employee"
"21015410","1","1","1","0","M","(55,65]","Married","Management"
