"Read","L.Music","Cinema","Comp","TV","Gender","Age","Marital.St","Prof"
"1","1","1","1","4","M","(25,35]","Single","Employee"
"1","1","1","1","4","M","(25,35]","Single","Management"
"1","1","0","1","1","M","[15,25]","Single","Manual labourer"
"1","1","1","1","2","M","(25,35]","Single","Employee"
"1","1","0","0","1","F","(25,35]","Single","Foreman"
"1","1","1","0","3","F","(25,35]","Divorcee","Employee"
"0","1","0","0","4","M","(35,45]","Married","Manual labourer"
"1","1","0","1","1","F","(45,55]","Married","Employee"
"1","1","1","1","2","M","(25,35]","Single","Management"
"1","1","1","0","0","M","(35,45]","Married","Foreman"
"1","1","0","0","0","M","(35,45]","Single","Management"
"1","1","0","0","3","F","(35,45]","Single","Foreman"
"0","1","1","1","0","F","[15,25]","Single","Foreman"
"1","1","0","0","4","F","(65,75]","Married","Unskilled worker"
"1","1","1","1","2","M","(45,55]","Married","Employee"
"0","1","1","0","0","M","(35,45]","Single","Foreman"
"1","1","1","0","0","F","(25,35]","Single","Foreman"
"1","1","1","0","0","F","(25,35]","Married","Technician"
"1","0","0","0","4","F","(85,100]","Widower","Employee"
"0","1","0","0","0","F","(35,45]","Single","Employee"
"0","0","0","1","0","M","(25,35]","Married","Management"
"0","0","0","0","4","F","(55,65]","Married","Employee"
"1","0","0","0","0","F","(65,75]","Widower","Employee"
"0","1","0","0","3","F","(45,55]","Married","Employee"
"0","1","0","0","3","F","(25,35]","Married","Employee"
"1","1","1","1","2","F","(45,55]","Divorcee","Foreman"
"1","1","1","1","2","M","(35,45]","Married","Management"
"1","1","0","0","4","M","(55,65]","Married","Employee"
"0","1","0","0","4","F","(85,100]","Single","Employee"
"1","0","0","0","3","M","(55,65]","Married","Management"
"0","1","1","1","2","M","(55,65]","Married","Management"
"1","1","1","1","3","M","(35,45]","Married","Management"
"1","0","0","1","3","M","(35,45]","Married","Management"
"1","0","0","1","1","M","(35,45]","Married","Management"
"1","1","1","1","3","M","(25,35]","Married","Unskilled worker"
"1","1","0","0","4","F","(25,35]","Married","Employee"
"1","1","1","0","1","M","(25,35]","Married","Management"
"1","1","1","1","4","M","(25,35]","Single","Employee"
"1","1","1","1","3","F","(55,65]","Married","Employee"
"1","0","0","0","2","F","(45,55]","Married","Employee"
"1","1","1","1","1","F","(45,55]","Married","Foreman"
"1","1","1","1","2","M","(65,75]","Married","Employee"
"1","0","0","0","3","M","(45,55]","Married","Manual labourer"
"0","0","0","0","0","F","(25,35]","Single","Manual labourer"
"1","0","1","1","3","F","(35,45]","Married","Employee"
"1","1","1","1","4","M","(55,65]","Remarried","Management"
"0","1","0","1","2","M","[15,25]","Single","Employee"
"0","1","0","0","4","F","[15,25]","Single","Employee"
"0","1","0","0","0","F","(45,55]","Married","Foreman"
"1","1","0","0","4","M","(35,45]","Single","Manual labourer"
"1","1","1","0","2","M","(55,65]","Remarried","Management"
"0","0","0","0","4","F","(65,75]","Married","Employee"
"1","0","1","1","4","F","(55,65]","Divorcee","Management"
"1","1","1","1","2","F","[15,25]","Single","Employee"
"0","0","0","0","3","F","(65,75]","Married","Unskilled worker"
"1","1","0","1","2","F","(45,55]","Married","Employee"
"1","1","1","1","4","F","(35,45]","Married","Manual labourer"
"0","1","0","1","2","M","(25,35]","Remarried","Employee"
"0","0","0","0","1","M","(55,65]","Married","Manual labourer"
"1","1","1","0","3","M","(45,55]","Single","Manual labourer"
"1","1","1","1","2","M","(25,35]","Married","Management"
"1","1","1","1","2","F","(55,65]","Divorcee","Employee"
"1","1","1","1","1","F","(35,45]","Divorcee","Foreman"
"1","1","1","1","1","F","(35,45]","Married","Foreman"
"1","1","1","1","1","F","(45,55]","Divorcee","Employee"
"1","1","1","0","3","M","(45,55]","Married","Unskilled worker"
"1","1","1","0","2","F","(25,35]","Married","Employee"
"1","1","1","1","4","F","(25,35]","Married","Management"
"1","1","1","1","4","M","[15,25]","Single","Manual labourer"
"1","1","1","1","1","M","(65,75]","Married","Management"
"1","0","1","1","2","F","(35,45]","Married","Employee"
"1","0","0","0","3","F","(85,100]","Widower","Management"
"1","1","1","1","2","M","[15,25]","Single","Unskilled worker"
"0","1","0","0","3","F","(55,65]","Single","Employee"
"1","1","1","1","2","M","[15,25]","Single","Employee"
"0","0","0","0","3","M","(45,55]","Divorcee","Unskilled worker"
"1","1","1","1","2","M","[15,25]","Single","Unskilled worker"
"1","1","1","0","4","F","(65,75]","Widower","Employee"
"1","0","0","0","3","M","(55,65]","Married","Technician"
"1","1","1","1","4","F","[15,25]","Single","Unskilled worker"
"0","1","0","1","2","F","(45,55]","Married","Employee"
"1","1","1","0","2","F","(45,55]","Married","Employee"
"1","1","1","1","4","M","(25,35]","Single","Management"
"0","0","1","1","1","M","(45,55]","Married","Employee"
"1","1","1","1","3","F","(25,35]","Single","Technician"
"1","1","1","1","1","F","(55,65]","Married","Management"
"1","1","1","0","3","F","(65,75]","Widower","Employee"
"1","1","1","1","2","F","(25,35]","Single","Management"
"1","1","0","0","4","F","(65,75]","Single","Foreman"
"1","1","1","1","3","F","(35,45]","Single","Foreman"
"1","1","1","0","4","F","(35,45]","Widower","Employee"
"1","1","1","1","2","M","(45,55]","Married","Management"
"0","1","1","0","4","F","(45,55]","Remarried","Foreman"
"0","1","1","0","4","M","(45,55]","Single","Employee"
"0","1","0","0","4","M","(25,35]","Married","Manual labourer"
"0","1","0","0","3","F","[15,25]","Single","Employee"
"1","1","0","0","3","M","(65,75]","Married","Manual labourer"
"1","1","1","1","2","M","(35,45]","Married","Employee"
"0","0","0","1","1","F","(65,75]","Widower","Employee"
"1","1","1","0","4","F","(45,55]","Married","Employee"
"1","1","0","0","4","M","(65,75]","Married","Employee"
"0","0","0","0","1","F","(55,65]","Married","Unskilled worker"
"1","1","0","0","3","F","(75,85]","Married","Other"
"1","1","0","0","0","F","(45,55]","Married","Management"
"1","1","0","1","2","M","(25,35]","Married","Management"
"1","1","1","0","1","F","(55,65]","Divorcee","Foreman"
"1","1","1","1","1","M","(55,65]","Married","Management"
"1","1","1","0","4","F","(25,35]","Single","Management"
"1","1","1","1","3","F","(35,45]","Married","Foreman"
"1","1","1","0","2","M","(45,55]","Remarried","Manual labourer"
"1","1","1","1","4","M","(35,45]","Married","Management"
"1","1","1","1","4","M","(35,45]","Married","Management"
"1","1","0","1","4","M","(35,45]","Remarried","Employee"
"0","1","1","1","4","M","(35,45]","Married","Management"
"1","1","0","1","0","M","(55,65]","Married","Technician"
"1","1","0","0","2","M","(65,75]","Married","Technician"
"1","1","1","1","4","F","(35,45]","Single","Technician"
"0","0","0","0","3","F","(55,65]","Widower","Employee"
"1","1","1","0","1","F","(35,45]","Married","Foreman"
"1","1","1","1","3","F","(45,55]","Married","Employee"
"1","1","1","0","0","M","(45,55]","Divorcee","Employee"
"1","1","1","1","4","F","(45,55]","Married","Management"
"1","1","1","1","2","M","(45,55]","Married","Management"
"1","1","1","1","1","M","(65,75]","Married","Management"
"1","1","1","1","1","M","(25,35]","Single","Management"
"0","1","0","1","2","M","(25,35]","Single","Foreman"
"1","1","1","0","2","F","(25,35]","Married","Employee"
"1","0","0","0","2","M","(75,85]","Widower","Foreman"
"1","1","0","1","2","F","(35,45]","Divorcee","Foreman"
"1","1","0","0","3","F","(35,45]","Married","Employee"
"1","1","0","0","2","M","(85,100]","Married","Management"
"1","1","1","1","4","M","(45,55]","Single","Management"
"1","1","1","0","3","F","(55,65]","Married","Technician"
"1","0","1","0","4","F","(65,75]","Married","Management"
"1","1","1","1","4","M","(35,45]","Single","Employee"
"1","1","1","1","1","F","[15,25]","Single","Employee"
"1","1","1","0","0","F","(25,35]","Widower","Employee"
"1","1","1","1","4","F","(25,35]","Single","Management"
"1","1","0","1","1","M","(55,65]","Married","Foreman"
"1","1","1","1","4","F","(35,45]","Single","Employee"
"1","1","0","0","3","M","(65,75]","Married","Management"
"0","0","0","0","0","F","(35,45]","Divorcee","Employee"
"1","1","0","0","3","F","(55,65]","Divorcee","Manual labourer"
"1","1","1","1","3","F","(35,45]","Married","Foreman"
"1","1","1","1","3","F","(25,35]","Single","Employee"
"1","1","0","1","1","F","(65,75]","Single","Management"
"1","1","0","0","4","F","(45,55]","Remarried","Employee"
"1","0","0","0","2","M","(55,65]","Remarried","Employee"
"0","1","1","0","2","M","(35,45]","Married","Manual labourer"
"1","1","0","0","4","M","(45,55]","Married","Manual labourer"
"1","1","1","0","2","M","(75,85]","Married","Management"
"1","1","1","0","3","F","(55,65]","Married","Employee"
"1","1","1","1","0","F","(35,45]","Single","Employee"
"0","1","1","1","3","F","(25,35]","Married","Employee"
"1","1","1","1","1","F","(35,45]","Married","Employee"
"0","0","0","0","2","F","(65,75]","Widower","Foreman"
"0","0","1","0","2","F","(25,35]","Married","Employee"
"0","0","0","0","1","M","(65,75]","Married","Unskilled worker"
"0","0","0","0","4","M","(55,65]","Married","Foreman"
"0","0","1","1","1","M","(35,45]","Single","Employee"
"1","1","0","0","1","F","(45,55]","Married","Employee"
"0","0","1","1","1","F","[15,25]","Single","Employee"
"1","0","0","0","4","F","(85,100]","Widower","Employee"
"0","0","0","0","3","F","(65,75]","Widower","Manual labourer"
"0","1","0","0","1","M","(25,35]","Single","Management"
"1","1","1","0","4","M","(65,75]","Married","Management"
"1","1","1","0","2","M","(35,45]","Divorcee","Foreman"
"0","0","1","0","1","M","(35,45]","Remarried","Employee"
"1","1","1","0","0","F","[15,25]","Married","Employee"
"1","1","1","1","2","M","(25,35]","Single","Technician"
"0","0","0","1","0","M","(25,35]","Single","Employee"
"1","0","1","0","1","F","(35,45]","Single","Employee"
"1","1","0","0","3","M","(75,85]","Married","Management"
"1","1","1","1","4","M","[15,25]","Single","Management"
"1","1","1","1","2","M","(65,75]","Divorcee","Management"
"1","1","1","0","2","F","(45,55]","Married","Management"
"1","1","1","0","4","F","(75,85]","Married","Management"
"1","1","1","1","2","F","(45,55]","Married","Employee"
"1","1","1","0","3","M","(65,75]","Widower","Management"
"1","1","0","0","2","M","(75,85]","Widower","Other"
"1","1","0","0","1","M","(75,85]","Married","Management"
"1","1","0","1","0","F","(75,85]","Widower","Management"
"1","1","1","1","4","F","(35,45]","Married","Management"
"1","1","1","1","0","M","(25,35]","Single","Employee"
"1","0","1","0","2","F","(65,75]","Widower","Foreman"
"0","1","0","1","2","M","(25,35]","Married","Technician"
"1","1","1","1","4","M","(35,45]","Single","Management"
"1","1","1","0","4","F","(25,35]","Married","Management"
"1","1","0","1","1","M","(45,55]","Single","Management"
"0","1","1","1","4","M","(25,35]","Single","Foreman"
"0","1","0","0","2","F","(35,45]","Single","Employee"
"1","1","1","0","0","F","(35,45]","Married","Employee"
"1","0","1","0","4","F","(45,55]","Married","Employee"
"0","0","0","0","4","M","(65,75]","Single","Employee"
"0","0","0","0","4","M","(35,45]","Married","Manual labourer"
"0","1","0","0","4","F","(35,45]","Single","Employee"
"1","1","1","0","1","F","(25,35]","Single","Foreman"
"0","0","0","1","2","M","(25,35]","Married","Manual labourer"
"1","0","1","1","2","M","(45,55]","Married","Foreman"
"1","1","1","1","2","M","(35,45]","Single","Foreman"
"1","1","0","0","2","F","(35,45]","Single","Management"
"1","0","1","0","4","F","(25,35]","Married","Employee"
"0","1","0","0","4","F","(35,45]","Single","Other"
"0","1","0","1","4","M","(35,45]","Married","Manual labourer"
"1","1","1","1","2","M","(25,35]","Married","Manual labourer"
"1","1","0","0","3","F","(45,55]","Married","Manual labourer"
"1","1","1","0","2","M","(25,35]","Married","Manual labourer"
"1","1","1","1","4","F","(35,45]","Married","Employee"
"1","1","1","0","4","F","(45,55]","Remarried","Manual labourer"
"0","1","1","1","0","F","(35,45]","Remarried","Manual labourer"
"1","1","0","0","2","F","(65,75]","Divorcee","Employee"
"1","1","1","1","2","F","(45,55]","Married","Foreman"
"0","0","0","0","1","M","(35,45]","Married","Manual labourer"
"0","0","0","0","2","M","(55,65]","Single","Manual labourer"
"1","0","1","0","4","F","[15,25]","Single","Employee"
"1","1","1","1","3","M","(25,35]","Married","Employee"
"1","0","1","1","3","M","[15,25]","Single","Unskilled worker"
"0","0","1","1","2","M","(35,45]","Married","Manual labourer"
"1","1","1","1","4","F","(45,55]","Single","Management"
"1","0","0","1","3","M","(65,75]","Divorcee","Employee"
"0","0","0","1","0","F","(35,45]","Single","Employee"
"1","1","0","0","1","F","(65,75]","Widower","Manual labourer"
"1","1","1","0","0","F","(35,45]","Single","Employee"
"1","1","1","1","0","F","(45,55]","Divorcee","Foreman"
"0","1","0","0","1","M","(25,35]","Married","Manual labourer"
"1","0","0","0","4","M","(65,75]","Married","Technician"
"0","1","0","0","0","M","(45,55]","Married","Manual labourer"
"1","0","0","1","3","F","(45,55]","Single","Employee"
"1","1","1","1","0","M","(25,35]","Single","Manual labourer"
"1","1","1","0","3","F","(35,45]","Single","Employee"
"1","1","0","1","0","F","(45,55]","Divorcee","Technician"
"1","1","1","0","4","F","(45,55]","Single","Employee"
"1","0","0","0","1","F","(25,35]","Single","Foreman"
"1","1","0","0","2","F","(25,35]","Single","Employee"
"0","1","0","0","2","F","(55,65]","Single","Foreman"
"1","1","1","0","3","F","(55,65]","Married","Technician"
"1","0","0","0","4","M","(55,65]","Divorcee","Manual labourer"
"1","0","0","0","4","F","(65,75]","Widower","Foreman"
"0","1","0","1","0","F","(35,45]","Married","Employee"
"1","1","0","0","2","F","(35,45]","Married","Management"
"1","1","1","0","0","M","(25,35]","Single","Employee"
"0","1","1","0","4","F","(35,45]","Divorcee","Employee"
"1","0","0","0","4","F","(25,35]","Single","Management"
"1","0","0","0","3","F","(75,85]","Married","Management"
"1","1","1","0","3","M","(55,65]","Remarried","Management"
"1","0","0","0","3","M","(65,75]","Married","Foreman"
"0","0","0","0","0","M","(35,45]","Married","Management"
"0","0","1","0","3","M","(45,55]","Married","Manual labourer"
"1","1","1","0","3","F","(65,75]","Married","Employee"
"0","0","0","0","3","F","(45,55]","Married","Employee"
"1","0","0","0","0","F","(25,35]","Single","Unskilled worker"
"0","0","0","0","4","F","(35,45]","Married","Employee"
"1","1","0","0","2","M","(55,65]","Married","Unskilled worker"
"1","1","0","1","4","M","(55,65]","Married","Unskilled worker"
"1","0","0","0","2","F","(75,85]","Widower","Manual labourer"
"1","0","0","0","3","M","(25,35]","Married","Technician"
"0","0","0","0","3","M","(25,35]","Married","Technician"
"1","0","0","0","3","F","(55,65]","Married","Technician"
"1","1","1","1","2","M","(45,55]","Married","Technician"
"0","0","0","0","3","M","(65,75]","Remarried","Manual labourer"
"0","1","0","0","4","M","(45,55]","Divorcee","Technician"
"1","1","0","0","3","M","(55,65]","Married","Manual labourer"
"1","1","1","1","4","M","(25,35]","Single","Employee"
"0","1","0","1","4","M","[15,25]","Single","Manual labourer"
"0","1","0","0","0","F","[15,25]","Single","Employee"
"0","0","0","0","3","M","(55,65]","Married","Manual labourer"
"1","0","0","0","4","F","(35,45]","Divorcee","Employee"
"0","0","0","0","3","F","(55,65]","Married","Manual labourer"
"0","0","0","0","4","F","(65,75]","Married","Employee"
"0","0","0","0","1","F","(45,55]","Married","Employee"
"0","0","0","0","3","F","(75,85]","Widower","Employee"
"1","1","0","0","4","M","(75,85]","Widower","Foreman"
"1","1","1","1","4","F","[15,25]","Single","Employee"
"0","1","0","1","4","M","(25,35]","Single","Unskilled worker"
"1","1","0","1","4","F","[15,25]","Married","Employee"
"1","1","0","0","3","M","(45,55]","Married","Employee"
"0","1","0","0","3","M","(25,35]","Single","Unskilled worker"
"1","1","0","0","1","F","(55,65]","Married","Employee"
"1","1","0","1","4","F","(25,35]","Married","Foreman"
"0","0","0","0","3","M","(55,65]","Remarried","Manual labourer"
"0","1","1","0","4","M","(35,45]","Single","Unskilled worker"
"0","0","0","1","4","F","(25,35]","Married","Technician"
"1","1","1","1","4","M","(35,45]","Single","Technician"
"1","0","0","0","1","M","(65,75]","Divorcee","Manual labourer"
"0","1","1","0","4","F","[15,25]","Single","Unskilled worker"
"0","1","1","1","2","F","(35,45]","Divorcee","Foreman"
"1","0","0","0","3","M","(65,75]","Married","Employee"
"1","1","1","1","1","M","(35,45]","Married","Employee"
"1","0","0","0","4","F","(75,85]","Widower","Employee"
"0","0","0","1","2","M","(35,45]","Married","Employee"
"0","1","0","0","4","F","(55,65]","Married","Employee"
"0","0","0","1","2","M","(55,65]","Married","Manual labourer"
"1","1","1","0","2","F","(45,55]","Married","Employee"
"0","0","0","0","1","M","(55,65]","Married","Foreman"
"0","1","0","0","3","F","(45,55]","Married","Manual labourer"
"1","1","1","1","2","M","(45,55]","Remarried","Management"
"1","1","1","1","3","F","(25,35]","Single","Employee"
"1","1","0","1","4","F","[15,25]","Single","Employee"
"0","0","0","0","0","F","(65,75]","Divorcee","Foreman"
"0","1","0","0","0","F","(45,55]","Remarried","Other"
"1","1","1","0","0","F","(35,45]","Married","Employee"
"1","1","0","0","0","F","(65,75]","Married","Employee"
"1","1","1","1","4","M","(45,55]","Single","Unskilled worker"
"1","1","1","1","4","F","(25,35]","Single","Employee"
"1","0","0","1","4","M","(25,35]","Married","Employee"
"1","0","1","1","1","F","(35,45]","Divorcee","Other"
"1","1","1","1","2","F","(25,35]","Married","Employee"
"1","1","1","1","1","F","(45,55]","Divorcee","Employee"
"1","1","0","1","2","F","(65,75]","Widower","Unskilled worker"
"1","1","0","0","3","F","(55,65]","Widower","Manual labourer"
"0","0","0","0","3","M","(35,45]","Single","Manual labourer"
"0","1","0","0","3","M","(55,65]","Married","Unskilled worker"
"0","1","0","0","4","F","(45,55]","Widower","Unskilled worker"
"0","0","0","1","4","F","(25,35]","Married","Employee"
"1","1","0","0","4","F","(85,100]","Single","Manual labourer"
"1","1","0","1","2","M","(25,35]","Married","Manual labourer"
"0","1","0","1","4","F","(25,35]","Single","Unskilled worker"
"0","1","1","1","2","F","(35,45]","Widower","Employee"
"1","1","0","0","0","F","(35,45]","Married","Employee"
"0","1","0","1","1","M","(35,45]","Married","Management"
"0","1","0","0","3","F","(45,55]","Married","Employee"
"1","1","1","0","4","F","(25,35]","Married","Foreman"
"1","0","0","0","1","M","(45,55]","Divorcee","Manual labourer"
"0","0","1","0","0","F","(55,65]","Married","Employee"
"0","1","1","1","2","M","(55,65]","Married","Management"
"1","1","0","1","4","M","(55,65]","Married","Foreman"
"0","0","0","0","0","M","(45,55]","Married","Foreman"
"1","1","1","1","2","M","(25,35]","Single","Foreman"
"1","0","1","0","0","F","(65,75]","Single","Employee"
"0","0","0","0","2","M","(65,75]","Married","Manual labourer"
"1","1","1","0","4","F","(35,45]","Single","Manual labourer"
"1","1","0","0","2","F","(65,75]","Married","Employee"
"0","1","1","1","2","M","(25,35]","Single","Manual labourer"
"1","0","0","0","3","M","(75,85]","Married","Management"
"1","1","0","0","0","F","(45,55]","Married","Employee"
"1","1","0","0","3","M","(45,55]","Married","Foreman"
"0","1","1","1","1","M","[15,25]","Single","Manual labourer"
"0","1","0","0","2","F","(35,45]","Married","Employee"
"1","1","1","1","3","F","(35,45]","Married","Management"
"1","1","0","1","3","F","(45,55]","Divorcee","Employee"
"1","1","0","0","4","F","(25,35]","Married","Management"
"1","1","0","1","4","F","(55,65]","Remarried","Employee"
"0","1","0","0","2","F","(35,45]","Married","Manual labourer"
"1","1","1","1","4","M","(35,45]","Married","Management"
"1","1","1","1","2","M","(45,55]","Remarried","Management"
"0","1","1","1","3","M","(25,35]","Married","Management"
"1","0","0","1","2","F","(45,55]","Remarried","Manual labourer"
"1","1","1","0","2","F","(45,55]","Married","Unskilled worker"
"0","1","0","1","1","F","(25,35]","Married","Management"
"0","1","0","0","2","F","(45,55]","Married","Manual labourer"
"0","1","1","0","2","M","(35,45]","Married","Manual labourer"
"1","1","0","0","4","F","(35,45]","Single","Unskilled worker"
"1","1","0","1","2","F","(45,55]","Widower","Management"
"1","0","0","1","2","F","(55,65]","Married","Employee"
"1","0","0","0","3","M","(65,75]","Married","Management"
"1","1","0","1","4","M","(25,35]","Married","Employee"
"1","1","0","0","1","F","(45,55]","Single","Employee"
"1","1","0","0","3","F","(75,85]","Widower","Employee"
